Age,Sex,Mid-2023,Mid-2022,Mid-2021,Mid-2020,Mid-2019,Mid-2018,Mid-2017,Mid-2016,Mid-2015,Mid-2014,Mid-2013,Mid-2012,Mid-2011,Mid-2010,Mid-2009,Mid-2008,Mid-2007,Mid-2006,Mid-2005,Mid-2004,Mid-2003,Mid-2002,Mid-2001
0,Persons,"573,100","596,389","579,361","599,361","614,765","630,785","647,776","664,409","658,624","660,583","673,922","691,561","679,102","672,051","662,806","667,840","642,603","622,805","606,776","597,087","575,898","559,072","557,502"
1,Persons,"611,983","592,815","602,297","615,483","629,886","646,396","664,447","660,439","662,946","676,571","693,992","683,418","669,858","661,491","667,271","642,968","625,519","606,029","596,809","575,093","559,670","559,188","572,104"
2,Persons,"608,924","614,824","614,335","626,334","644,113","662,647","659,161","663,711","677,849","695,648","686,294","673,307","661,891","667,806","643,986","628,030","606,917","596,170","575,954","560,054","561,672","574,416","586,546"
3,Persons,"629,972","626,355","623,636","641,058","661,188","656,871","662,388","678,376","696,830","688,869","675,965","664,954","669,484","645,584","630,621","607,109","596,871","576,028","561,503","563,931","577,061","589,440","596,281"
4,Persons,"640,658","634,992","639,467","658,912","655,582","660,445","677,320","697,328","691,009","678,422","667,603","671,916","648,411","633,562","607,221","596,758","577,110","562,083","566,945","579,825","592,909","599,405","611,406"
5,Persons,"648,548","650,699","658,172","653,482","659,611","676,459","696,840","693,170","681,060","670,722","674,446","650,080","635,925","608,246","597,452","577,429","563,399","568,461","581,227","596,528","603,012","614,820","607,008"
6,Persons,"663,754","669,100","652,798","658,165","676,166","695,824","693,873","683,104","673,294","676,914","651,601","636,965","608,280","598,113","578,513","564,338","571,289","582,924","598,226","606,000","618,423","610,238","608,881"
7,Persons,"681,559","663,718","657,805","675,453","695,644","694,277","684,133","675,734","679,325","653,315","638,095","611,917","597,679","579,655","566,002","574,056","586,109","600,295","607,633","621,878","614,219","611,499","623,653"
8,Persons,"675,636","667,969","675,357","694,611","695,029","684,695","676,939","681,286","654,843","639,341","615,669","601,645","579,791","567,722","577,340","589,158","603,863","609,683","623,497","617,893","614,737","626,939","630,796"
9,Persons,"679,270","685,503","694,630","695,154","685,963","678,305","682,760","656,591","640,889","619,875","606,047","583,657","568,460","580,615","592,465","607,073","612,837","625,740","620,142","617,567","630,410","632,843","650,450"
10,Persons,"696,169","704,193","696,456","686,415","680,009","683,967","657,408","642,152","623,812","610,576","587,577","571,727","583,192","596,097","610,274","615,251","629,615","623,261","620,214","632,425","635,470","652,912","660,955"