year,1. 0-4 years,2. 5-9 years,all
2000,0.055146245,0.009419262,0.03625563
2001,0.052434134,0.010764871,0.032916792
2002,0.08076062,0.00908286,0.08126392
2003,0.053639517,0.010428469,0.043895344
2004,0.066296032,0.016483709,0.059099318
2005,0.034654744,0.010092067,0.055119121
2006,0.057858355,0.008410055,0.086979558
2007,0.068706796,0.015810904,0.113350719
2008,0.13831763,0.017156513,0.128799918
2009,0.171465646,0.026912177,0.145550698
2010,0.244089935,0.028257786,0.222136473
2011,0.232337456,0.024557362,0.161245123
2012,0.387229094,0.042050277,0.204574563